title,abstract
Review of GPM IMERG performance: A global perspective,"Accurate, reliable, and high spatio-temporal resolution precipitation data are vital for many applications, including the study of extreme events, hydrological modeling, water resource management, and hydroclimatic research in general. In this study, we performed a systematic review of the available literature to assess the performance of the Integrated Multi-Satellite Retrievals for GPM (IMERG) products across different geographical locations and climatic conditions around the globe. Asia, and in particular China, are the subject of the largest number of IMERG evaluation studies on the continental and country level. When compared to ground observational records, IMERG is found to vary with seasons, as well as precipitation type, structure, and intensity. It is shown to appropriately estimate and detect regional precipitation patterns, and their spatial mean, while its performance can be improved over mountainous regions characterized by orographic precipitation, complex terrains, and for winter precipitation. Furthermore, despite IMERG's better performance compared to other satellite products in reproducing spatio-temporal patterns and variability of extreme precipitation, some limitations were found regarding the precipitation intensity. At the temporal scales, IMERG performs better at monthly and annual time steps than the daily and sub-daily ones. Finally, in terms of hydrological application, the use of IMERG has resulted in significant discrepancies in streamflow simulation. However, and most importantly, we find that each new version that replaces the previous one, shows substantial improvement in almost every spatiotemporal scale and climatic condition. Thus, despite its limitations, IMERG evolution reveals a promising path for current and future applications."
RF-MEP: A novel Random Forest method for merging gridded precipitation products and ground-based measurements,"The accurate representation of spatio-temporal patterns of precipitation is an essential input for numerous environmental applications. However, the estimation of precipitation patterns derived solely from rain gauges is subject to large uncertainties. We present the Random Forest based MErging Procedure (RF-MEP), which combines information from ground-based measurements, state-of-the-art precipitation products, and topography-related features to improve the representation of the spatio-temporal distribution of precipitation, especially in data-scarce regions. RF-MEP is applied over Chile for 2000—2016, using daily measurements from 258 rain gauges for model training and 111 stations for validation. Two merged datasets were computed: RF-MEP3P (based on PERSIANN-CDR, ERA-Interim, and CHIRPSv2) and RF-MEP5P (which additionally includes CMORPHv1 and TRMM 3B42v7). The performances of the two merged products and those used in their computation were compared against MSWEPv2.2, which is a state-of-the-art global merged product. A validation using ground-based measurements was applied at different temporal scales using both continuous and categorical indices of performance. RF-MEP3P and RF-MEP5P outperformed all the precipitation datasets used in their computation, the products derived using other merging techniques, and generally outperformed MSWEPv2.2. The merged P products showed improvements in the linear correlation, bias, and variability of precipitation at different temporal scales, as well as in the probability of detection, the false alarm ratio, the frequency bias, and the critical success index for different precipitation intensities. RF-MEP performed well even when the training dataset was reduced to 10% of the available rain gauges. Our results suggest that RF-MEP could be successfully applied to any other region and to correct other climatological variables, assuming that ground-based data are available. An R package to implement RF-MEP is freely available online at https://github.com/hzambran/RFmerge."
Atmospheric correction of Sentinel-3/OLCI data for mapping of suspended particulate matter and chlorophyll-a concentration in Belgian turbid coastal waters,"The performance of different atmospheric correction algorithms for the Ocean and Land Colour Instrument (OLCI) on board of Sentinel-3 (S3) is evaluated for retrieval of water-leaving radiance reflectance, and derived parameters chlorophyll-a concentration and turbidity in turbid coastal waters in the Belgian Coastal Zone (BCZ). This is performed using in situ measurements from an autonomous pan-and-tilt hyperspectral radiometer system (PANTHYR). The PANTHYR provides validation data for any satellite band between 400 and 900 nm, with the deployment in the BCZ of particular interest due to the wide range of observed Near-InfraRed (NIR) reflectance. The Dark Spectrum Fitting (DSF) atmospheric correction algorithm is adapted for S3/OLCI processing in ACOLITE, and its performance and that of 5 other processing algorithms (L2-WFR, POLYMER, C2RCC, SeaDAS, and SeaDAS-ALT) is compared to the in situ measured reflectances. Water turbidities across the matchups in the Belgian Coastal Zone are about 20–100 FNU, and the overall performance is best for ACOLITE and L2-WFR, with the former providing lowest relative (Mean Absolute Relative Difference, MARD 7–27%) and absolute errors (Mean Average Difference, MAD -0.002, Root Mean Squared Difference, RMSD 0.01–0.016) in the bands between 442 and 681 nm. L2-WFR provides the lowest errors at longer NIR wavelengths (754–885 nm). The algorithms that assume a water reflectance model, i.e. POLYMER and C2RCC, are at present not very suitable for processing imagery over the turbid Belgian coastal waters, with especially the latter introducing problems in the 665 and 709 nm bands, and hence the chlorophyll-a and turbidity retrievals. This may be caused by their internal model and/or training dataset not being well adapted to the waters encountered in the BCZ. The 1020 nm band is used most frequently by ACOLITE/DSF for the estimation of the atmospheric path reflectance (67% of matchups), indicating its usefulness for turbid water atmospheric correction. Turbidity retrieval using a single band algorithm showed good performance for L2-WFR and ACOLITE compared to PANTHYR for e.g. the 709 nm band (MARD 15 and 17%), where their reflectances were also very close to the in situ observations (MARD 11%). For the retrieval of chlorophyll-a, all methods except C2RCC gave similar performance, due to the RedEdge band-ratio algorithm being robust to typical spectrally flat atmospheric correction errors. C2RCC does not retain the spectral relationship in the Red and RedEdge bands, and hence its chlorophyll-a concentration retrieval is not at all reliable in Belgian coastal waters. L2-WFR and ACOLITE show similar performance compared to in situ radiometry, but due to the assumption of spatially consistent aerosols, ACOLITE provides less noisy products. With the superior performance of ACOLITE in the 490–681 nm wavelength range, and smoother output products, it can be recommended for processing of S3/OLCI data in turbid waters similar to those encountered in the BCZ. The ACOLITE processor for OLCI and the in situ matchup dataset used here are made available under an open source license."
Above-ground biomass mapping in West African dryland forest using Sentinel-1 and 2 datasets-A case study,"The Sudanian Savanna (SS) of West Africa is characterized by tropical savannas and woodlands. Accurate es-
timation of AGB and carbon stocks in this biome is important for addressing sustainable development goals as

the information can aid natural resource management at varied spatial scales. Previous AGB mapping efforts

focused on humid forests, with little attention on savannas. This study explored the use of annual monthly time-
series of Senitinel-1 (S-1) and Sentinel-2 (S-2) data to map AGB in the SS. Backscatter, spectral reflectance, and

derivatives (vegetation indices and biophysical parameters) were combined with field inventory data in a
Random Forest regression to map AGB. Eight experiments were conducted with different data configurations to
determine: (1) the potential of S-1 and S-2 for AGB mapping, (2) optimal image acquisition period for AGB
mapping, and (3) contribution of image derivatives to improving the accuracy of AGB mapping. The predicted
map was validated with 40% of the inventory data. Uncertainty in the AGB was assessed using mean absolute
error, root mean squared error, coefficient of determination and symmetrical mean absolute percentage error.
Results show that about 90% of the study area have low AGB stocks of less than 90 Mg/ha. Compared to S-1

(RMSE: 78.6; MAE: 25.6), S-2 achieved better prediction accuracy (RMSE: 60.6; MAE: 19.2), although combi-
nation of the two according to seasonality produced the best results (RMSE: 45.4; MAE: 16.3). Images acquired

in the dry season were found to be more useful for predicting AGB than those of rainy season. Also, stress-related
vegetation indices and a red-edge dependent normalized difference vegetation index not tested in previous AGB
studies using Sentinels were found to be significant contributors to the superior performance of S-2. Since
biomass is a finite resource, our results can provide valuable information on the sustainable use of biomass and
energy security including studies on carbon cycling and ecosystem functions in the region. The demonstrated
possibility of using open access earth observation data to map and monitor AGB in data scarce regions is useful
and beneficial to attaining SDG indicators 15.2.1 (sustainable forest management) and 15.3.1 (proportion of land
that is degraded over total land area). Further work on developing species-specific wood densities and allometric
equations is required to improve AGB and carbon stock estimation in the SS."
Mapping nature's contribution to SDG 6 and implications for other SDGs at policy relevant scales,"The natural world has multiple, sometimes conflicting, sometimes synergistic, values to society when viewed
through the lens of the Sustainable Development Goals (SDGs), Spatial mapping of nature's contributions to the
SDGs has the potential to support the implementation of SDG strategies through sustainable land management
and conservation of ecosystem services. Such mapping requires a range of spatial data. This paper examines the
use of remote sensing and spatial ecosystem service modelling to examine nature's contribution to targets under
SDG 6, also highlighting synergies with other key SDGs and trade-offs with agriculture.

We use a wide range of remotely sensed and globally available datasets (for land cover, climate, soil, po-
pulation, agriculture) alongside the existing and widely used spatial ecosystem services assessment tool, Co

$tingNature. With these we identify priority areas for sustainable management to realise targets under SDG 6
(water) at the country scale for Madagascar and at the basin scale for the Volta basin, though the application
developed can be applied to any country or major basin in the world. Within this SDG 6 priority areas footprint,
we assess the synergies and trade-offs provided by this land for SDG 15 (biodiversity) and SDG 13 (climate
action) as well as SDG 2 (zero hunger).

Results highlight the co-benefits of sustainably managing nature's contribution to SDG 6, such as the pro-
tection of forest cover (for SDG target 15.2), carbon storage as a contribution to the Paris climate agreement and

nationally determined contributions (SDG 13) and biodiversity (for SDG target 15.5) but also trade-offs with the
zero hunger goal (for SDG 2). Such analyses allow for better understanding of land management requirements
for realising multiple SDGs through protection and restoration of green infrastructure. We provide a freely
available tool, within the Co$tingNature platform, based on a variety of remotely sensed products, that can be
used by SDG practitioners to carry out similar analyses and inform decision-making at national or sub-national
levels globally."
The global distribution of leaf chlorophyll content,"Leaf chlorophyll is central to the exchange of carbon, water and energy between the biosphere and the
40 atmosphere, and to the functioning of terrestrial ecosystems. This paper presents the first spatially
41 continuous view of terrestrial leaf chlorophyll content (ChlLeaf) across a global scale. Weekly maps of
42 ChlLeaf were produced from ENIVSAT MERIS full resolution (300 m) satellite data with a two-stage
43 physically-based radiative transfer modelling approach. Firstly, leaf-level reflectance was derived from
44 top-of-canopy satellite reflectance observations using 4-Scale and SAIL canopy radiative transfer models
3
45 for woody and non-woody vegetation, respectively. Secondly, the modelled leaf-level reflectance was
46 used in the PROSPECT leaf-level radiative transfer model to derive ChlLeaf. The ChlLeaf retrieval algorithm
47 was validated with measured ChlLeaf data from 248 sample measurements at 28 field locations, and
48 covering six plant functional types (PFTs). Modelled results show strong relationships with field
measurements, particularly for deciduous broadleaf forests (R2
 = 0.67; RMSE = 9.25 µg cm-2 49 ; p<0.001),
croplands (R2
 = 0.41; RMSE = 13.18 µg cm-2; p<0.001) and evergreen needleleaf forests (R2 50 = 0.47; RMSE
= 10.63 µg cm-2 51 ; p<0.001). When the modelled results from all PFTs were considered together, the
overall relationship with measured ChlLeaf remained good (R2
 = 0.47, RMSE = 10.79 µg cm-2 52 ; p<0.001).
53 This result was an improvement on the relationship between measured ChlLeaf and a commonly used
chlorophyll-sensitive spectral vegetation index; the MERIS Terrestrial Chlorophyll Index (MTCI; R2 54 = 0.27,
55 p<0.001). The global maps show large temporal and spatial variability in ChlLeaf, with evergreen broadleaf
forests presenting the highest leaf chlorophyll values with global annual median of 54.4 µg cm-2 56 . Distinct
57 seasonal ChlLeaf phenologies are also visible, particularly in deciduous plant forms, associated with
58 budburst and crop growth, and leaf senescence. It is anticipated that this global ChlLeaf product will make
59 an important step towards the explicit consideration of leaf-level biochemistry in terrestrial water,
60 energy and carbon cycle modelling"
Thematic accuracy assessment of the NLCD 2016 land cover for the conterminous United States,"The National Land Cover Database (NLCD) is an operational land cover monitoring program providing updated land cover and related information for the United States at five-year intervals. NLCD2016 extends temporal coverage to 15 years (2001–2016). We collected land cover reference data for the 2011 and 2016 nominal dates to report land cover accuracy for the NLCD2016 database 2011 and 2016 land cover components at Level II and Level I and for Level I 2011–2016 land cover change using two definitions of agreement. For both the 2011 and 2016 land cover components, single-date Level II overall accuracies (OA) were 72% (standard error of ±0.9%) when agreement was defined as match between the map label and primary reference label only and 86% (± 0.7%) when agreement also included the alternate reference label. The corresponding level I OA for both dates were 79% (± 0.9%) and 91% (± 1.0%). The 2011–2016 user's and producer's accuracies (UA and PA) were ~ 75% for forest loss and PA for water loss, grassland loss, and grass gain were > 70% when agreement included a match between the map label and either the primary or alternate reference label. Depending on agreement definition and level of the classification hierarchy, OA for the 2011 land cover component of the NLCD2016 database was about 4% to 7% higher than OA for the 2011 land cover component of the NLCD2011 database, suggesting that the changes in mapping methodologies initiated for production of the NLCD2016 database have led to improved product quality. Additionally, we used the reference dataset collected for assessment of the NLCD2011 database to assess the 2001 and 2006 land cover components of the NLCD2016 database. OA for the 2001 and 2006 land cover components was 1% - 5% lower than OA for the 2011 and 2016 land cover components of the NLCD2016 database. Higher OA for 2011 and 2016 land cover components of the NLCD2016 database relative to OA for its 2001 and 2006 components may be attributable to differences in reference data quality."
Sensitivity of six typical spatiotemporal fusion methods to different influential factors: A comparative study for a normalized difference vegetation index time series …,"Dozens of spatiotemporal fusion methods have been developed to reconstruct vegetation index time-series data
with both high spatial resolution and frequent coverage for monitoring land surface dynamics. Although several
studies comparing the different fusion methods have been conducted, selecting the suitable fusion methods is
still challenging, as inevitable influential factors tend to be neglected. To address this problem, this study
compared six typical spatiotemporal fusion methods, including the Unmixing-Based Data Fusion (UBDF), Linear
Mixing Growth Model (LMGM), Spatial and Temporal Adaptive Reflectance Fusion Model (STARFM), Fit-FC
(regression model Fitting, spatial Filtering and residual Compensation), One Pair Dictionary-Learning method
(OPDL), and Flexible Spatiotemporal DAta Fusion (FSDAF), based on simulation experiments and theoretical
analysis considering three influential factors between sensors: geometric misregistration, radiometric inconsistency, and spatial resolution ratio. The results indicate that Fit-FC achieved the best performance with the
strongest tolerance to geometric misregistration when radiometric inconsistency was negligible; thus, it is the
first recommended algorithm for blending normalized difference vegetation index (NDVI) imagery. Instead, the
FSDAF could generate the best results if radiometric inconsistency was non-negligible. These findings could help
users determine the method that is appropriate for different remote sensing datasets, and provide guidelines for
developers in the future development of novel methods. "
"Continental drought monitoring using satellite soil moisture, data assimilation and an integrated drought index","Satellite remote sensing provides unprecedented information on near-surface soil moisture at a global scale, enabling a wide range of studies such as drought monitoring and forecasting. Data Assimilation (DA) has been recognized as an effective means to incorporate such observations into hydrologic models to better predict and forecast hydroclimatic variables. In this study, we use a recently developed Evolutionary Particle Filter with Markov Chain Monte Carlo (EPFM) approach to assimilate Soil Moisture Active Passive (SMAP) soil moisture data into Variable Infiltration Capacity (VIC) hydrologic model to provide more reliable topsoil layer moisture (0~–5 cm) over the entire Continental United States (CONUS). The EPFM outperformed an Ensemble Kalman filter (EnKF) in terms of correlations and the unbiased root mean square error (ubRMSE) with in situ measurements from the Soil Climate Analysis Network (SCAN) and the United States Climate Reference Network (USCRN). Also, we used a multivariate probability distribution based on a Copula function to integrate the posterior soil moisture, precipitation (from the North American Land Data Assimilation System (NLDAS)) and evapotranspiration (from the Moderate Resolution Imaging Spectroradiometer (MODIS)) information to develop a new integrated drought index, i.e. SPESMI. To validate the usefulness of the developed integrated drought index, we compared the drought events detected by this index with those reported by the United States Drought Monitor (USDM). The results indicated a strong temporal consistency of the drought areas detected by our approach and the USDM over the entire period of study (April 2015 to June 2018). In addition to such promising results, we noticed that our approach could capture the flash drought in 2017 in the U.S. Northern Plains earlier than the USDM, and could identify some severe to extreme drought events that had been underestimated by the USDM. Moreover, the SPESMI has a high correlation with the yield loss of spring and winter wheat in the United States. This novel drought monitoring framework can serve as an independent and potentially complementary drought monitoring system."
Validation practices for satellite soil moisture retrievals: What are (the) errors?,"This paper presents a community effort to develop good practice guidelines for the validation of global coarse-scale satellite soil moisture products. We provide theoretical background, a review of state-of-the-art methodologies for estimating errors in soil moisture data sets, practical recommendations on data pre-processing and presentation of statistical results, and a recommended validation protocol that is supplemented with an example validation exercise focused on microwave-based surface soil moisture products. We conclude by identifying research gaps that should be addressed in the near future.
"
A spatio-temporal active-fire clustering approach for global burned area mapping at 250 m from MODIS data,"This paper presents the generation of a global burned area mapping algorithm using MODIS hotspots and near-infrared reflectance within ESA's Fire_cci project. The algorithm is based on a hybrid approach that combines MODIS highest resolution (250 m) near-infrared band and active fire information from thermal channels. The burned area is detected in two phases. In the first step, pixels with a high probability of being burned are selected in order to reduce commission errors. To do that, spatio-temporal active-fire clusters are created to determine adaptive thresholds. Finally, a contextual growing approach is applied from those pixels to the neighbouring area to fully detect the burned patch and reduce omission errors. The algorithm was used to obtain a time series of global burned area dataset (named FireCCI51), covering the 2001–2018 period. Validation based on 1200 sampled sites covering the period from 2003 to 2014 showed an average omission and commission errors of 67.1% and 54.4%. When using longer validation periods, the errors were found smaller (54.5% omission and 25.7% commission for the additional 1000 African sampled sites), which indicates that the product is negatively influenced by temporal reporting accuracy. The inter-comparison carried out with previous Fire_cci versions (FireCCI41 and FireCCI50), and NASA's standard burned area product (MCD64A1 c6) showed consistent spatial and temporal patterns. However, the new algorithm estimated an average BA of 4.63 Mkm2, with a maximum of 5.19 Mkm2 (2004) and a minimum of 3.94 Mkm2 (in 2001), increasing current burned area estimations. Besides, the new product was found more sensitive to detect smaller burned patches. This new product, called FireCCI51, is publicly available at: http://cci.esa.int/data, last accessed on September 2019.
"
Deep learning on edge: Extracting field boundaries from satellite images with a convolutional neural network,"Applications of digital agricultural services often require either farmers or their advisers to provide digital records of their field
boundaries. Automatic extraction of field boundaries from satellite imagery would reduce the reliance on manual input of these
records which is time consuming, and would underpin the provision of remote products and services. The lack of current field
boundary data sets seems to indicate low uptake of existing methods, presumably because of expensive image preprocessing requirements and local, often arbitrary, tuning. In this paper, we sought to facilitate field boundary extraction from satellite images
by proposing a data-driven, robust, general method and addressed this problem as a multi-task semantic segmentation problem. We
used ResUNet-a, a deep convolutional neural network with a fully connected UNet backbone that features dilated convolutions
and conditioned inference to identify: 1) the extent of fields; 2) the field boundaries; and 3) the distance to the closest boundary. By
asking the algorithm to reconstruct three correlated outputs, model performance and its generalisation can greatly improve. Next,
instance segmentation of individual fields can be achieved by post-processing the three model outputs, e.g., via thresholding or watershed segmentation. Using a single monthly composite image from Sentinel-2 as input, the model was highly accurate in mapping
field extent, field boundaries, and, consequently, individual fields. Replacing the monthly composite with a single-date image close
to the compositing period marginally decreased accuracy. We then showed in a series of experiments that, without recalibration, the
same model generalised well across resolutions, sensors, space and time. Building consensus by averaging model predictions from
at least four images acquired across the season is the key to coping with the temporal variations of accuracy. The convolutional
network is capable of learning complex hierarchical contextual features from the image to accurately detect field boundaries and
discard irrelevant boundaries, thereby outperforming conventional edge filters. By minimising over-fitting and image preprocessing
requirements, and by replacing local arbitrary decisions by data-driven ones, our approach is expected to facilitate the extraction of
individual crop fields at scale."
Continuous subpixel monitoring of urban impervious surface using Landsat time series,"A novel method called Continuous Subpixel Monitoring (CSM) was developed to map and monitor urban impervious surface change continuously at the subpixel level. Time series model of each pixel was first estimated based on clear Landsat observations between 2000 and 2014, and any land surface change was detected by the Continuous Change Detection and Classification (CCDC) algorithm. These coefficients and Root Mean Square Errors (RMSEs) of the estimated time series models were then employed as the inputs of random forest regressor. A few experiments with different combinations of variables and bands were explored to better construct random forest regression models. We successfully applied this algorithm to map subpixel urban impervious surface area (ISA%) and characterize its dynamics in Broome County, New York. Several conclusions can be drawn from the results and analyses. First, the integration of subpixel mapping technique and time series analysis in CSM can yield a relatively satisfactory ISA% result at one point in time. With higher precision and smaller bias, its mapping accuracy is better than that of National Land Cover Database (NLCD) percent developed imperviousness product, without using extensive auxiliary data, such as nighttime light image and transportation network. Second, the ISA% change of any time interval can be easily derived and detected by CSM with relatively high accuracy, which have the potential to generate sub-annual ISA% change products. Furthermore, this approach can detect not only urban expansion/intensification (ISA% gain), but also different patterns of urban transitions overtime, such as urban demolition/redevelopment to vegetation (ISA% loss), and surface modifications (no mechanical change). Finally, CSM works well in one of the cloudiest regions in the United States. This algorithm could provide a new direction to map and monitor percent urban impervious surface change in a reliable and efficient way, which also has the potential to apply to other land cover types (e.g., tree, shrub, and barren lands) at the subpixel level.
"
Phenology of short vegetation cycles in a Kenyan rangeland from PlanetScope and Sentinel-2,"The short revisit times afforded by recently-deployed optical satellite sensors that acquire 3–30 m resolution imagery provide new opportunities to study seasonal vegetation dynamics. Previous studies demonstrated a successful retrieval of phenology with Sentinel-2 for relatively stable annual growing seasons. In semi-arid East Africa however, vegetation responds rapidly to a concentration of rainfall over short periods and consequently is subject to strong interannual variability. Obtaining a sufficient density of cloud-free acquisitions to accurately describe these short vegetation cycles is therefore challenging. The objective of this study is to evaluate if data from two satellite constellations, i.e., PlanetScope (3 m resolution) and Sentinel-2 (10 m resolution), each independently allow for accurate mapping of vegetation phenology under these challenging conditions. The study area is a rangeland with bimodal seasonality located at the 128-km2 Kapiti Farm in Machakos County, Kenya. Using all the available PlanetScope and Sentinel-2 imagery between March 2017 and February 2019, we derived temporal NDVI profiles and fitted double hyperbolic tangent models (equivalent to commonly-used logistic functions), separately for the two rainy seasons locally referred to as the short and long rains. We estimated start- and end-of-season for the series using a 50% threshold between minimum and maximum levels of the modelled time series (SOS50/EOS50). We compared our estimates against those obtained from vegetation index series from two alternative sources, i.e. a) greenness chromatic coordinate (GCC) series obtained from digital repeat photography, and b) MODIS NDVI. We found that both PlanetScope and Sentinel-2 series resulted in acceptable retrievals of phenology (RMSD of ~8 days for SOS50 and ~15 days for EOS50 when compared against GCC series) suggesting that the sensors individually provide sufficient temporal detail. However, when applying the model to the entire study area, fewer spatial artefacts occurred in the PlanetScope results. This could be explained by the higher observation frequency of PlanetScope, which becomes critical during periods of persistent cloud cover. We further illustrated that PlanetScope series could differentiate the phenology of individual trees from grassland surroundings, whereby tree green-up was found to be both earlier and later than for grass, depending on location. The spatially-detailed phenology retrievals, as achieved in this study, are expected to help in better understanding climate and degradation impacts on rangeland vegetation, particularly for heterogeneous rangeland systems with large interannual variability in phenology and productivity.
"
Improved change monitoring using an ensemble of time series algorithms,"An ensemble of time series algorithms improves land change monitoring. The methodology combines the Continuous Change Detection and Classification (CCDC; Zhu & Woodcock, 2014) and Cumulative Sum of Residuals (CUSUM) algorithms for break detection and the Chow Test (Chow, 1960) for removing false positives (or breaks in time series not representing land change). The algorithms included are based on fundamentally different approaches to change detection and therefore offer unique advantages. The ensemble, or the combination of the three algorithms, was applied to 3 Landsat scenes in the United States and the results were assessed based on their ability to correctly discern structural breaks from stable time periods. The CUSUM test was shown to detect significant breaks 84.18% of the time and the Chow Test correctly removed breaks in 87.4% of the breaks analyzed. The ensemble produced results with lower frequency of errors of omission and commission (Type-I and Type-II errors) than a single algorithm approach. These results indicate that using a combination of break detection algorithms can be an improvement over typical approaches that utilize only one algorithm."
Strengthening agricultural decisions in countries at risk of food insecurity: The GEOGLAM Crop Monitor for Early Warning,"Crop Monitor provides consensus crop assessments for countries at risk.

•
The goal is to reduce ambiguity in crop assessments for food security decisions.

•
Achieved through international coordination sharing of data, methods and expertise

•
EO play key role in early warning especially in countries at risk.

•
Early warning of reduced production is key component of SDG2 Zero Hunger."
Pan-tropical soil moisture mapping based on a three-layer model from CYGNSS GNSS-R data,"In this paper, an effective schematic is developed for estimating soil moisture (SM) from CYclone Global
Navigation Satellite System (CYGNSS) data. Here, a three-layer model of air, vegetation cover, and soil is
considered. In practice, the surface reflectivity (Γ) along with its statistics derived from the CYGNSS data and the
ancillary vegetation opacity (τ) data from Soil Moisture Active Passive (SMAP) are employed. The expression for
empirically retrieving SM from τ, Γ and its corresponding statistics are determined through the linear regression
technique. The CYGNSS data collected over the land surfaces within ± 37° (latitude) during the whole year of
2018 are investigated. The reference SM data are obtained from SMAP, and are regarded as ground-truth in this
work. Validation and assessment are performed on the pan-tropical daily data collected throughout the annual
circle at a resolution of 36 × 36 km2
. Experimental evaluation demonstrates good consistency between the SM
derived from CYGNSS data and the ground-truth, with a correlation coefficient of 0.80 and a root-mean-square
error of 0.07 cm3
/cm3
. This method succeeds in providing SM estimations on a pan-tropical scale that does not
rely on ongoing knowledge of SM and merely employs the least ancillary data. Furthermore, the intense temporal and spatial coverages of CYGNSS SM results are also illustrated. The use of CYGNSS SM significantly
enhances the pan-tropical coverage of SMAP SM by about 22% on average. The satisfactory outcomes achieved
here prove CYGNSS as an efficient complementary tool for pan-tropical SM sensing on a daily basis."
Have satellite precipitation products improved over last two decades? A comprehensive comparison of GPM IMERG with nine satellite and reanalysis datasets,"The Integrated Multi-satellitE Retrievals for Global Precipitation Measurement (IMERG) produces the latest generation of satellite precipitation estimates and has been widely used since its release in 2014. IMERG V06 provides global rainfall and snowfall data beginning from 2000. This study comprehensively analyzes the quality of the IMERG product at daily and hourly scales in China from 2000 to 2018 with special attention paid to snowfall estimates. The performance of IMERG is compared with nine satellite and reanalysis products (TRMM 3B42, CMORPH, PERSIANN-CDR, GSMaP, CHIRPS, SM2RAIN, ERA5, ERA-Interim, and MERRA2). Results show that the IMERG product outperforms other datasets, except the Global Satellite Mapping of Precipitation (GSMaP), which uses daily-scale station data to adjust satellite precipitation estimates. The monthly-scale station data adjustment used by IMERG naturally has a limited impact on estimates of precipitation occurrence and intensity at the daily and hourly time scales. The quality of IMERG has improved over time, attributed to the increasing number of passive microwave samples. SM2RAIN, ERA5, and MERRA2 also exhibit increasing accuracy with time that may cause variable performance in climatological studies. Even relying on monthly station data adjustments, IMERG shows good performance in both accuracy metrics at hourly time scales and the representation of diurnal cycles. In contrast, although ERA5 is acceptable at the daily scale, it degrades at the hourly scale due to the limitation in reproducing the peak time, magnitude and variation of diurnal cycles. IMERG underestimates snowfall compared with gauge and reanalysis data. The triple collocation analysis suggests that IMERG snowfall is worse than reanalysis and gauge data, which partly results in the degraded quality of IMERG in cold climates. This study demonstrates new findings on the uncertainties of various precipitation products and identifies potential directions for algorithm improvement. The results of this study will be useful for both developers and users of satellite rainfall products."
Individual tree crown segmentation from airborne LiDAR data using a novel Gaussian filter and energy function minimization-based approach,"Accurate segmentation of individual tree crowns (ITCs) from airborne light detection and ranging (LiDAR) data remains a challenge for forest inventories. Although many ITC segmentation methods have been developed to derive tree crown information from airborne LiDAR data, these algorithms contain uncertainty in processing false treetops because of foliage clumps and lateral branches, overlapping canopies without clear valley-shape areas, and sub-canopy crowns with neighbouring trees that obscure their shapes from an aerial perspective. Here, we propose an approach to crown segmentation using computer vision theories applied in different forest types. First, a dual Gaussian filter was designed with automated adaptive parameter assignment and a screening strategy for false treetops. This preserved the geometric characteristics of sub-canopy trees while eliminating false treetops. Second, anisotropic water expansion controlled by the energy function was applied for accurate crown segmentation. This utilized gradient information from the digital surface model and explored the morphological structures of tree crown boundaries as analogous to the maximal valley height difference from surrounding treetops. We demonstrate the generality of our approach in the subtropical forests within China. Our approach enhanced the detection rate of treetops and ITC segmentation relative to the marker-controlled watershed method, especially in complicated intersections of multiple crowns. A high performance was demonstrated for three pure Eucalyptus plots (a treetop detection rate r ≥ 0.95 and crown width estimation R2 ≥ 0.90 for canopy trees; r ≥ 0.85 and R2 ≥ 0.88 for sub-canopy trees) and three plots dominated by Chinese fir (r ≥ 0.95 and R2 ≥ 0.87 for canopy trees; r ≥ 0.79 and R2 ≥ 0.83 for sub-canopy trees). Finally, in a relatively complex forest park containing a wide range of tree species and sizes, a high performance was also achieved (r = 0.93 and R2 ≥ 0.85 for canopy trees; r = 0.70 and R2 ≥ 0.80 for sub-canopy trees). Our method demonstrates that methods inspired by the computer vision theory can improve on existing approaches, providing the potential for accurate crown segmentation even in mixed forests with complex structures"
A review of urban physical environment sensing using street view imagery in public health studies,"Urban physical environments are the physical settings and built environments in neighbourhoods
and cities which provide places for human activities. Evidence suggests that there are substantial
associations between urban physical environments and various health outcomes, e.g. people’s
physical activities might be influenced by surrounding physical environments, thereby affecting
their health behaviours; more exposure to urban physical environments may benefit human
mental health. Street view imagery enables us to capture the landscape at eye-level, making it
a promising data source for observing and analysing the realistic dynamics of urban physical
environments. Compared with traditional in-person assessments and field observations, street
view imagery-based data collection is relatively time-effective and cost-effective. Researchers
from epidemiology, psychology, and geography have used street view imagery to quantify the
built environment and understand its impacts on public health. To summarize current research
trends, this paper systematically reviews the use of street view images for sensing urban environments in public health studies. Specifically, we describe the characteristics of street view imagery
and review the methodology for image processing and semantic understanding. We then summarize the challenges that remain for quantifying urban environments in terms of data and
methodology. Several future research directions that would benefit public health research and
practices are recommended in urban environment research."
